Date,Event
4-Jan-80, President Jimmy Carter announces the embargo on sale of grain and high technology to the Soviet Union due to the Soviet invasion of Afghanistan.
13-Feb-80,"The opening ceremonies of the 1980 Winter
Olympics Games are held in Lake Placid, New York. One of the
most thrilling moments include the Miracle on Ice when a team of
U.S. amateur ice hockey players defeated the vaunted Soviet
Union professional all-star team in the semi-final game, then won the gold medal over Finland. U.S. speed skater Eric Heiden also concluded one of the most amazing feats in sports history when he won all five speed skating medals from the sprint at 500
meters to the marathon 10,000 meter event."
1-Apr-80,"The 1980 census shows a population in the United
States of 226,542,203, an 11.4% increase since 1970. For the
first time, one state had over 20 million people living within its borders, the state of California with 23.7 million. Due to a trend of western migration, Missouri now contained the geographic population center of the United States, one quarter mile west of De Soto in Jefferson County."
12-Apr-80,"The United States Olympic Committee,
responding to the request of President Jimmy Carter on March
21, votes to withdraw its athletes from participation in the
Moscow Summer Olympic Games due to the continued
involvement of the Soviet Union in Afghanistan."
"April 24-25, 1980","The attempt to rescue the American hostages
held captive in the U.S. Embassy in Iran fails with eight
Americans killed and five wounded in Operation Eagle Claw
when a mid-air collision occurs."
18-May-80,"The Mt. St. Helens volcano, in Washington State,
erupts, killing fifty-seven people and economic devastation to the area with losses near $3 billion. The blast was estimated to have the power five hundred times greater than the Hiroshima atomic bomb."
10-Oct-80,"President Carter signs legislation establishing Boston African American National Historic Site, which includes the oldest black church in America and other historic sites of the Black Heritage Trail in Boston, Massachusetts."
4-Nov-80,"Ronald Reagan, the former Republican
governor of California, beats President Jimmy Carter and
independent candidate John B. Anderson, also a Republican, in
a landslide victory, ousting the incumbent from office. The victory in the Electoral College, 489 to 49, as well as an 8 million vote margin in the popular vote over Carter, ensured a mandate for the new president."
20-Jan-81,"The inauguration of Ronald Reagan as the 40th president of the United States occurs in Washington, D.C. It was followed by the release of the fifty-two Americans still held hostage in Tehran. The Iranian hostage crisis, which lasted four hundred and forty-four days, was negotiated for the return of $8 billion in frozen Iranian assets."
30-Mar-81,"President Ronald Reagan withstands an
assassination attempt, shot in the chest while walking to his
limousine in Washington, D.C."
12-Apr-81,"The first launch of the Space Shuttle from Cape
Canaveral and the Kennedy Space Center occurs as Columbia
begins its STS-1 mission. The Space Shuttle is the first reusable spacecraft to be flown into orbit, and it returned to earth for a traditional touch down landing two days later."
29-Jul-81,"Tax cut legislation proposed by President Ronald
Reagan, the largest in history, is passed by both houses of the
U.S. Congress. It would reduce taxes by $750 billion over the
next five years."
12-Aug-81,"IBM introduces the IBM-PC personal
computer, the IBM 5150. It was designed by twelve engineers
and designers under Don Estridge of the IBM Entry Systems
Division. It sold for $1,565 in 1981."
21-Sep-81,"Sandra Day O'Connor is approved
unanimously, 99-0, by the United States Senate to become the
first female Supreme Court associate justice in history."
8-Jan-82,ATT settles its lawsuit with the U.S. Justice Department. The agreement forced the independence of the twenty-two regional Bell System companies in return for expansion into the prohibited areas of data processing and equipment sales.
2-Mar-82,The Senate passes a bill that virtually eliminated the practice of busing to achieve racial integration.
1-May-82,"The Knoxville World's Fair opens on the topic of
energy by President Reagan. A special category exposition
sanctioned by the Bureau of International Exhibitions, the
Knoxville event would draw over eleven million people to the
Tennessee valley over the next six months."
5-Nov-82,"The highest unemployment rate since 1940
is recorded at 10.4%. By the end of November, over eleven
million people would be unemployed."
13-Nov-82,"The Vietnam Veterans Memorial is
dedicated in Washington, D.C., holding the names of the more
than 58,000 killed or missing in action during the conflict."
23-Mar-83,"The initial proposal to develop technology to intercept incoming missiles, the Strategic Defense Initiative Program, or Star Wars, is made by President Ronald Reagan."
