Date,Event
7-Feb-90,"The Central Committee of the Soviet Communist Party gives up its monopoly of power, continuing the trend, since the beginning of the Berlin Wall coming down, that the Cold War was about to end. The ending of the Cold War was completed, in many ways, by the strong policies of U.S. President Ronald Reagan toward the Soviet block. Six days later, a plan to reunite Germany was announced."
18-Mar-90,"The largest art theft in U.S. history occurs in Boston, Massachusetts, when two thieves posing as policemen abscond more than one dozen works of art worth an estimated $100-200 million from the Isabella Stewart Gardner Museum."
1-Apr-90,"The 1990 census is conducted, counting
248,718,301, for an increase of 9.8% over the 1980 census. This
is the smallest increase in the population rate since 1940. The
geographic center of the United States population is now ten
miles southeast of Steelville, Missouri."
24-Apr-90,"The Hubble Telescope is placed into orbit by the United States Space Shuttle Discovery. One month later, the
telescope becomes operational."
1-Jun-90,"U.S. President George H.W. Bush and his Soviet
counterpart Mikhail Gorbachev sign a treaty to eliminate
chemical weapon production and begin the destruction of each
nation's current inventory."
2-Aug-90,"Iraq invades its neighbor, Kuwait, setting into
motion the beginning of U.S. involvement in the Gulf War. Four
days later, the United Nations begins a global trade embargo
against Iraq. On November 29, the United Nations passes a
resolution, #678, stating that Iraq must withdraw its forces from Kuwait by January 15, 1991 or face military intervention."
6-Aug-90,"Tumacacori National Monument is enlarged and
re-titled a Historical Park by legislation signed into law by
President George H.W. Bush. The site, including the historic
Spanish mission church of San Jose de Tumacacori, was
founded by Padre Eusebio Kino in 1691."
12-Jan-91,U.S. Congress passes a resolution authorizing the use of force to liberate Kuwait. Operation Desert Storm begins four days later with air strikes against Iraq. Iraq responds by sending eight Scud missiles into Israel.
27-Feb-91,"The Gulf War ends one day after Iraq
withdraws its forces from Kuwait and sets the oil fields on fire. A cease fire is declared and Iraq accepts the condition of
disarmament after one hundred hours of ground fighting. On
April 3, the United Nations Security Council passes Resolution
687, calling for the destruction and removal of the entire Iraqi
chemical and biological weapons stockpile, plus ballistic missiles with a range greater than 150 kilometers. Iraq also agrees to withdraw its support of international terrorism."
3-Oct-91,"The governor of Arkansas, William Jefferson
Clinton, announces his intention to seek the 1992 Democratic
nomination for the Presidency of the United States."
29-Jul-91,"Bank of Credit and Commerce International is
indicted in New York for the largest bank fraud in history."
27-Nov-91,"The United Nations Security Council
unanimously votes to adopt Resolution 721, which would lead the
way to establishing peacekeeping forces in Yugoslavia. Three
months later, another resolution would approve a peacekeeping
force be sent."
26-Jan-92,"The renewed nation of Russia, part of the Soviet Union dissolved on December 26, 1991, and their leader Boris Yeltsin announce that they will stop targeting the cities of the United States with nuclear weapons."
