Date,Event
"March 25, 2010","The U.S. House of Representatives finalizes
the Health Care legislation approved by the Senate, extending
health benefits and insurance to most Americans. The legislation,
the Affordable Care Act, passed on a partisan basis by the
Democratic Majority, has caused a significant rift within the
public, who disapproved of the bill, and is expected to test the
Democratic Party's hold on both houses of Congress during the
mid-term elections in November."
"April 1, 2010","The U.S. Census of 2010 is conducted, showing a
9.7% increase from the 2000 census for a total of 308,745,538
people. The geographic center of the population is now 2.7 miles
northeast of Plato, Missouri."
"April 20, 2010","A British Petroleum deep water oil rig explodes in the Gulf of Mexico, causing the largest oil spill in the history of the United States, killing eleven workers, and devastating the environment. It also severely damaged the fishing and tourism industries of gulf states."
"November 2, 2010","With an impetus from the Tea Party
movement to restore fiscal sanity to Congress and various state
houses, Republican candidates win the majority of elections,
taking control of the U.S. House of Representatives with a net
gain of 63 seats, reducing the majority of Democrats in the
Senate, and taking over many governorships and other
legislative bodies. This tide was the biggest turnaround in
Congressional seats since 1948, and many attribute the election
to disfavor of Obama administration spending practices, including the Health Care legislation passed in March."
"May 2, 2011","Osama Bin Laden, mastermind of the 9/11, 2001
attacks on the World Trade Center, the Pentagon, and other
locations and leader of the terrorist group, Al-Queda, is killed
after ten years of pursuit by United States and coalition forces
during a raid by U.S. Navy Seals on his hideout location in
Pakistan."
"July 21, 2011","The final shuttle flight lands at the Kennedy
Space Center, signifying the end of the NASA shuttle space
program. The program, which began in 1981 and included 135
missions, was completed when the Shuttle Atlantis flew its final
mission to the International Space Station."
"September 17, 2011","The first of many Occupy Wall Street
protests begin in New York City, protesting the big money
interests on Wall Street and their relationship to the recession
and world economy."
"December 15, 2011","The war in Iraq is declared over when
President Obama orders the last combat troops to leave the
country."
"May 7, 2012","The first licenses for cars without drivers is granted in the state of Nevada to Google. Futuristic transportation systems were first introduced in concept during the in the General Motors exhibit Futurama by Norman Bel Geddes. By September of 2012, three states had passed laws
allowing such vehicles; Nevada, California, and Florida."
"September 11, 2012","Terrorist attack on a consulate in the
Libyan city of Benghazi kills four Americans, including
Ambassador John C. Stevens, showing the continued fight
against Islamic extremism had not abated after the Arab Spring
uprisings in the Middle East and deposing of dictators such as
Muammar Gaddafi."
"October 29, 2012","Hurricane Sandy, taking an unusual track up
the East Coast and coming to landfall on the New Jersey coast
near Atlantic City and Long Island coasts of New York creates
significant damage to coastal towns as well as the boroughs of
Manhattan and Staten Island, to the estimated cost of $65.6
billion. The hurricane, at its peak a Category 2 storm, was the
largest storm in recorded history by diameter at 1,100 miles."
"November 6, 2012","President Barack Obama wins a significant
victory, 332 electoral votes to 206, for his second term in office
against Republican challenger and businessman Mitt Romney.
Congress remained status quo with divided government as the
House of Representatives remained in Republican hands and the
Senate in Democratic hands."
