Date,Event
1-Feb-60,"Four black college students from North Carolina Agricultural and Technical College in Greensboro, North Carolina stage a sit-in at a segregated Woolworth lunch counter, protesting their denial of service. This action caused a national campaign, waged by seventy-thousand students, both white and black, over the next eight months, in sit-ins across the nation for Civil Rights."
1-Apr-60,"Tiros I, the first weather satellite, is launched by the United States. Twelve days later, the navigation satellite, Transit 1-b is launched."
1-Apr-60,"The 1960 census includes a United States
population of 179,323,175, an 18.5% increase since 1950. For
the first time, two states, New York and California have over
fifteen million people within their borders. The geographic center of the United States is located six and one half miles northwest of Centralia, Illinois."
1-May-60,"In the Soviet Union, a United States U-2
reconnaissance plane is shot done by Soviet forces, leading to
the capture of U.S. pilot Gary Powers and the eventual
cancellation of the Paris summit conference. On August 19,
Powers is sentenced by the Soviet Union to ten years in prison
for espionage. On February 10, 1962 , he would be exchanged
for a captured Soviet spy in Berlin."
4-Jul-60,"The fifty star flag of the United States is debuted in Philadelphia, Pennsylvania, reflecting the admission of Hawaii into the union in 1959."
8-Nov-60,"The presidential race to succeed two term
president Dwight D. Eisenhower is won by Senator John F.
Kennedy, the Democratic candidate from Massachusetts, over
incumbent Vice President Richard M. Nixon. Kennedy was a
narrow victor in the popular vote, by slightly more than 120,000
votes, but won a more substantial victory in the Electoral College tally, 303 to 219. 62.8% of the voting age population took part in the contest. The 1960 campaign for president had seen the first televised debate on September 26."
3-Jan-61,Disputes over the nationalization of United States businesses in Cuba cause the U.S. Government to sever diplomatic and consular relations with the Cuban government.
15-Feb-61,"The entire United States figure skating team
is killed in a plane crash near Brussels, Belgium on their journey
to the World Championships. Seventy-three people are killed."
17-Apr-61,"The Bay of Pigs invasion of Cuba is repulsed by
Cuban forces in an attempt by Cuban exiles under the direction
of the United States government to overthrow the regime of Fidel
Castro."
5-May-61,"The first U.S. manned sub-orbital space flight is
completed with Commander Alan B. Shepard Jr. inside a
Mercury capsule launched 116.5 miles above the earth from , Florida. Twenty days later, President Kennedy announces his intention to place a man on the moon by the end of the decade."
13-Aug-61,"The construction of the Berlin Wall begins by
the Soviet bloc, segregating the German city, previously held in
four sectors by Allied forces, including the United States. The
wall would last for twenty-eight years."
28-Dec-61,"The National Park Service extends its
lands into the U.S. Virgin Islands when President John F.
Kennedy proclaims the Buck Island Reef as a National
Monument. The reef includes an underwater nature trail and one
of the best marine gardens in the Caribbean Sea."
7-Feb-62,The first sign of a looming Vietnam conflict emerges when President Kennedy admits that the military advisors already in Vietnam would engage the enemy if fired upon.
20-Feb-62,"Lt. Colonel John Glenn becomes the first
U.S. astronaut in orbit in the Friendship 7 Mercury capsule. He
would circle the earth three times before returning to earth,
remaining aloft for four hours and fifty-five minutes. This flight
equalized the space race with the Soviet Union, whose Vostok I
flight on April 12, 1961 with Yuri Gagarin had become the first
manned spaceflight into orbit one year earlier."
21-Apr-62,"The Seattle Century 21 Exposition, the first
world's fair held in the United States since World War II, opens
under the theme of space exploration. Over 9.6 million visitors
would attend the exposition over 184 days in central Seattle,
whose monorail still travels inside the city."
1-Oct-62,"Three thousand troops quell riots, allowing
James Meredith to enter the University of Mississippi as the first black student under guard by Federal marshals."
14-Oct-62,"The Cuban Missile Crises begins. In
response to the Soviet Union building offensive missiles in Cuba, President John F. Kennedy orders a naval and air blockade of military equipment to the island. An agreement is eventually
reached with Soviet Premier Khrushchev on the removal of the
missiles, ending the potential conflict after thirty-eight days, in what many think was the closest the Cold War came to breaking
into armed conflict."
21-Mar-63,"The last twenty-seven prisoners of Alcatraz, the island prison in San Francisco Bay, are ordered removed by Attorney General Robert F. Kennedy, and the federal penitentiary is closed."
11-Jun-63,"A patent for the first manned space capsule, the
Mercury, is issued to Maxime A. Faget, Andre J. Meyer, Jr.,
Robert G. Chilton, William S. Blanchard, Jr., Alan B. Kehlet,
Jerome B. Hammack, and Caldwell C. Johnson, Jr."
17-Jun-63,"The Supreme Court of the United States ruled in
the case of Abington School District vs. Schempp that laws
requiring the recitation of the Lord's Prayer or Bible verses in
public schools is unconstitutional. The vote was 8 to 1."
25-Jul-63,"The United States, Soviet Union, and Great
Britain agree to a limited nuclear test-ban treaty, barring all
nuclear testing above ground."
28-Aug-63,"The Civil Rights march on Washington, D.C.
for Jobs and Freedom culminates with Dr. Martin Luther King's
famous ""I Have a Dream"" speech from the steps of the Lincoln
Memorial. Over 200,000 people participated in the march for
equal rights."
29-Aug-63,"A peaceful settlement to the land dispute
between Mexico and the United States is enacted with the
signing of the Chamizal Treaty, establishing the boundary in the
El Paso Juarez Valley. The dispute, which had been ongoing for
ninety-nine years, is now commemorated by the Chamizal
National Memorial in El Paso, Texas."
22-Nov-63,"In Dallas, Texas, during a motorcade
through downtown, President John F. Kennedy is mortally
wounded by assassin Lee Harvey Oswald. Vice President
Lyndon B. Johnson is sworn into office later that day. Two days
later, Oswald was himself killed on live national television by Jack Ruby while being transported in police custody."
9-Jan-64,"The Panama Canal incident occurs when Panamanian mobs engage United States troops, leading to the death of twenty-one Panama citizens and four U.S. troops."
13-Jan-64,"Beatlemania hits the shores of the United
States with the release of I Want to Hold Your Hand, which
becomes the Liverpool group's first North American hit. One
week later, their first U.S. album Meet the Beatles is released."
25-Feb-64,"1960 Olympic champion Cassius Clay
(Muhammad Ali) wins the World Heavyweight Championship in
Boxing from current champ Sonny Liston."
22-Apr-64,"The New York World's Fair opens in Queens,
New York on the site of the 1939 event. One of the largest
world's fairs in United States history, it was not a sanctioned
Bureau of International Exhibitions event, due to conflict over the dates of the Seattle fair of 1962. This world's fair would last for two seasons, and included exhibits from eighty nations. Over 50 million visitors would attend. Its theme structure, the Unisphere, is still present, now seen each August outside the U.S. Tennis Open."
2-Jul-64,"An omnibus legislation in the U.S. Congress on
Civil Rights is passed. It banned discrimination in jobs, voting and accommodations."
7-Aug-64,"The Tonkin Resolution is passed by the United
States Congress, authorizing broad powers to the president to
take action in Vietnam after North Vietnamese boats had
attacked two United States destroyers five days earlier."
3-Nov-64,"President Lyndon B. Johnson wins his first
presidential election with a victory over Barry M. Goldwater from Arizona. Johnson extended the Democratic victory by former
running mate John F. Kennedy with a 486 to 52 thrashing of the
Republican candidate in the Electoral College and over 15 million surplus in the popular vote."
7-Feb-65,President Lyndon B. Johnson orders the continuous bombing of North Vietnam below the 20th parallel.
25-Mar-65,"Martin Luther King speaks at a civil rights rally on the courthouse steps of the Alabama State Capitol, ending the Selma to Montgomery, Alabama march for voting rights."
6-Aug-65,The Voting Rights Act of 1965 is signed into law by President Lyndon B. Johnson. Two significant portions of the act; the outlawing of the requirement of potential voters to take a literacy test in order to qualify and the provision of federal registration of voters in areas with less than 50% of all voters registered.
11-Aug-65,"The Watts race riots in Los Angeles begin a
five day siege, culminating in the death of thirty-four people and
property destruction in excess of $200 million."
15-Oct-65,"The first public burning of a draft card occurs
in protest to the Vietnam War. It is coordinated by the anti-war
group of students, National Coordinating Committee to End the
War in Vietnam."
29-Jun-66,"United States warplanes begin their bombing raids of Hanoi and Haiphong, North Vietnam. By December of this year, the United States had 385,300 troops stationed in South Vietnam with sixty thousand additional troops offshore and thirty-three thousand in Thailand."
1-Jul-66,"Medicare, the government medical program for
citizens over the age of 65, begins."
9-Sep-66,"President Lyndon Johnson signed
legislation creating the San Juan Island National Historical Park.  The site, in Washington State, includes the location of British and United States army camps in the 1860s when both nations claimed ownership of the island."
15-Oct-66,"The National Historic Preservation Act is
made law. It expanded the National Register of Historic Places to include historic sites of regional, state, and local significance."
8-Nov-66,"The first black United States Senator in
eighty-five years, Edward Brooke, is elected to Congress. Brooke
was the Republican candidate from Massachusetts and former
Attorney General of that state."
15-Jan-67,The first Super Bowl is held in Los Angeles between the Green Bay Packers and the Kansas City Chiefs with Green Bay winning 35-10. Over fifty one million people watch on television.
27-Jan-67,"The Outer Space Treaty is signed into force by the United States, Great Britain, and the Soviet Union, to take effect on October 10, 1967."
23-Jun-67,"A three day summit between President Lyndon
B. Johnson and Soviet Premier Alexei Kosygin, held at
Glassboro State College in New Jersey, culminates in a mutual
declaration that no crises between them would lead to war."
Jul-67,"Black riots plague U.S. cities. In Newark, New Jersey, twenty-six are killed, fifteen hundred injured and one thousand arrested from July 12 to 17. One week later, July 23 to 30, forty are killed, two thousand injured, and five thousand left homeless after rioting in Detroit, known as the 12th Street Riots, decimate a black ghetto. The riots are eventually stopped by over 12,500 Federal troopers and National Guardsmen."
2-Oct-67,"Thurgood Marshall is sworn into office as the
first black Supreme Court Justice."
23-Jan-68,"The U.S.S. Pueblo incident occurs in the Sea of Japan when North Korea seizes the ship and its crew, accusing it of violating its territorial waters for the purpose of spying. They would release the prisoners on December 22, but North Korea still holds possession of the U.S.S. Pueblo to this day."
