Date,Event
"April 3, 2000",The ruling in the case of the United States versus Microsoft states that the company did violate anti-trust laws by diminishing the capability of its rivals to compete.
"June 1, 2000","For the first time since 1851, the United States of America does not participate in a major World's Fair, the , despite a record number, 187, of international participants. President Bill Clinton had withdrawn U.S. participation late in 1999 after agreement to participate in 1997. Congressional apathy toward participation in world events continues a decline in U.S. involvement after the fall of the Soviet Union and victory in the Cold War. A consequence of this policy has led to a rise, among some experts, of anti-American sentiment and a decline of U.S. influence in diplomatic affairs.  Less than half, 18.1 million, of the original attendance estimate, 40 million, visit Hannover's event."
"November 7, 2000","George W. Bush, son of the former
President, and Vice President Al Gore hold a virtual dead-heat
for the presidency, with a disputed vote in Florida holding off the naming of the winner of the Presidential Election until the
Supreme Court of the United States voted in favor of Bush on
December 12. This ruling gave Florida to the Bush camp by a
527 vote majority and a victory in the Electoral College, 271-266, despite gaining less popular votes than Gore."
"November 7, 2000","Hillary Rodham Clinton wins a seat for the
United States Senate from New York. It is the first time a former First Lady wins public office."
"December 28, 2000","Montgomery Ward, the retail giant since its
founding one hundred and twenty-eight years before, announces
its intention to cease business. Competition from newer, low-cost retail behemoths such as Wal-Mart lead to its demise."
"April 1, 2001","China-U.S. incident. An American spy plane
collides with a fighter plane of China and makes an emergency
landing in Hainan, China. The U.S. crew is detained for ten days."
"April 8, 2001","Tiger Woods becomes the first golfer to hold all
four major golf titles simultaneously by winning the Master's
tournament in Augusta, Georgia. This followed a remarkable run in 2000 when Woods claimed victory at the final three majors of that season; the U.S. Open, the British Open, and the PGA Championship."
"September 11, 2001","Islamic fundamentalist terrorists hijack
four U.S. airliners and crash them into the Pentagon and the
World Trade Center in New York City. The attack of two planes
levels the World Trade Center and the crash of one plane inflicts serious damage to the Pentagon in Arlington, Virginia, causing nearly 3,000 deaths. The fourth plane is heroically crashed by passengers into a Shanksville, Pennsylvania cornfield when they learn of the plot, preventing destruction of another structure in Washington, D.C., supposed to be the White House or the Capitol building. The plot is attributed to the Al-Qaeda
organization led by Osama Bin Laden."
"September 18, 2001","Anthrax attacks by mail from Princeton,
New Jersey against news and government targets begin. Federal
officials announce the first case on October 4."
"October 7, 2001","In response to the tragedy of September 11,
the United States military, with participation from its ally the
United Kingdom, commence the first attack in the War on
Terrorism on the Taliban and Al-Qaeda in Afghanistan. By
November 12, the Taliban government leaves the capital, Kabul."
"May 21, 2002","The United States State Department issues its
report in the War on Terror. It states that there are seven nations that a State-Sponsors: Iran, Iraq, Cuba, Libya, North Korea, Sudan, and Syria."
